TimeSeries; || ;RR; DET; LAM; RATIO; averageL; averageH; Lmax; Hmax; DIV; ENTR; averageTime1; averageTime2
[99.6028, 98.2363, 98.3086, 98.9274, 99.3476, 99.7791, 100.4638, 100.8047, 100.0544, 98.3867, 96.0691, 93.536, 91.1091, 88.9228, 87.1494, 86.6454, 88.0032, 89.4757, 89.3809, 88.6744, 88.7646, 89.815, 91.5513, 93.1022, 93.6594]; || ;0.017406321098654094;1.0;1.0;57.4503937007874;11.222222222222221;3.8421052631578947;61;8;0.01639344262295082;2.3221879428070658;41.166666666666664;41.833333333333336
[93.3747, 92.6041, 91.8635, 91.5532, 91.0866, 89.7669, 88.2049, 87.3951, 87.1315, 86.9938, 85.8011, 82.2336, 79.0739, 81.4178, 86.8757, 91.409, 95.3812, 97.6317, 99.1863, 100.0002, 100.0103, 98.2485, 95.4138, 93.0655, 91.1701]; || ;0.020037827910419123;1.0;1.0;49.905608755129954;14.882352941176471;5.09433962264151;76;13;0.013157894736842105;2.6701198898068172;0;0
[90.8885, 90.8962, 89.5105, 87.566, 86.9222, 87.4194, 89.4632, 92.5607, 95.8036, 98.7058, 99.9632, 100.398, 100.4784, 99.9985, 99.0656, 97.9524, 97.6236, 98.9771, 100.1948, 99.3824, 98.057, 97.8057, 96.746, 92.9348, 89.1913]; || ;0.020037827910419123;1.0;1.0;49.905608755129954;10.608695652173912;2.7298850574712645;55;11;0.01818181818181818;2.6533048729309265;47.63076923076923;49.4
[88.5168, 89.4466, 88.3392, 86.9258, 85.5124, 84.0989, 82.6855, 81.2721, 79.8587, 78.4452, 77.3852, 76.3251, 75.265, 74.2049, 73.7338, 73.2627, 72.7915, 76.5168, 74.1778, 69.6129, 65.7682, 64.2246, 64.7141, 66.2105, 67.8361]; || ;0.01833831309448754;1.0;1.0;54.530642750373694;28.625;3.031847133757962;128;9;0.0078125;1.9061547465398496;46.5;47.5
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[127.9111, 134.9973, 136.3354, 135.7991, 135.329, 134.7599, 135.0077, 135.3324, 131.1611, 124.6246, 132.4911, 136.0606, 134.1856, 131.0363, 127.1477, 123.0721, 119.7607, 118.3406, 118.4538, 118.3964, 118.238, 119.3208, 121.3959, 122.8671, 123.6188]; || ;0.029522217044488912;1.0;1.0;33.8727948003714;13.225806451612904;9.473118279569892;42;25;0.023809523809523808;3.076233820970336;13.2;19.8
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[160.1781, 164.5052, 163.5182, 159.2697, 155.1939, 152.5467, 150.5849, 148.87, 147.8622, 147.5087, 147.3108, 147.153, 146.044, 142.5002, 137.0571, 132.743, 131.8976, 133.8629, 135.1265, 130.7679, 123.1797, 129.9176, 135.3812, 137.5834, 138.607]; || ;0.028370932814341714;1.0;1.0;35.24734299516908;17.26086956521739;6.6299212598425195;70;23;0.014285714285714285;2.8113759572611494;28.5;29.5
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[87.2151, 79.4483, 73.7678, 71.1328, 70.8521, 72.0821, 74.8451, 79.2754, 84.2321, 87.4179, 87.1641, 84.0352, 80.3375, 77.9873, 77.544, 78.8578, 80.9324, 82.2482, 81.8864, 80.3028, 78.7166, 78.2366, 79.3224, 81.5342, 83.7939]; || ;0.010443792659192456;1.0;1.0;95.750656167979;7.363636363636363;2.3472222222222223;17;5;0.058823529411764705;2.0198149924929463;55.57142857142857;55.61904761904762
[84.975, 84.7566, 83.2694, 80.9693, 78.6425, 76.6166, 74.2909, 70.9099, 66.4629, 60.943, 56.649, 60.1004, 63.7845, 65.7963, 66.8951, 66.0565, 62.4829, 57.1594, 52.9429, 51.9592, 53.4141, 54.8821, 55.3719, 55.7382, 56.7325]; || ;0.018009374743016913;1.0;1.0;55.52663622526636;15.571428571428571;3.830508474576271;44;11;0.022727272727272728;2.4410152780267027;60.0;60.0
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[74.4276, 76.4213, 79.7665, 83.2345, 84.4175, 81.8893, 77.054, 72.6677, 69.8894, 68.4366, 68.2411, 69.3797, 71.3979, 73.4192, 73.7733, 70.7498, 63.8811, 56.7189, 55.0627, 52.5258, 49.5146, 47.9636, 47.4047, 46.9945, 46.6739]; || ;0.022669334722184152;1.0;1.0;44.112454655380894;12.73913043478261;4.236486486486487;59;14;0.01694915254237288;2.83412587655526;59.55555555555556;60.55555555555556
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[102.6152, 104.6976, 105.4711, 103.8078, 100.321, 96.6063, 93.0603, 88.804, 84.0947, 79.8597, 76.4733, 74.1403, 72.9615, 72.5477, 72.4102, 72.1797, 69.6127, 66.4987, 69.5074, 71.8879, 71.4165, 70.1816, 69.3082, 68.6895, 67.5191]; || ;0.02985115539595954;1.0;1.0;33.49954086317723;17.666666666666668;6.309859154929577;114;20;0.008771929824561403;2.8314802400679735;36.0;37.5
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
