TimeSeries; || ;RR; DET; LAM; RATIO; averageL; averageH; Lmax; Hmax; DIV; ENTR; averageTime1; averageTime2
[86.2084, 77.5093, 78.4849, 79.6118, 80.8328, 79.3762, 79.9429, 79.5251, 79.9109, 79.4151, 77.4933, 78.6188, 80.5577, 86.0422, 95.8286, 107.1044, 123.2167, 136.95, 141.3554, 145.1924, 146.6748, 152.8041, 154.3728, 153.3331, 151.7572, 151.528, 151.852, 152.4579, 153.3559, 153.301, 153.159, 151.4263, 151.9769, 151.6391, 151.529, 152.3689, 154.0498, 154.334, 154.9079, 152.3554, 148.6136, 150.0158, 152.5526, 158.0202, 158.9979, 159.8019, 158.1082, 156.8312, 152.3407, 149.2834, 149.086, 150.3228, 154.3164, 152.2153, 157.0983, 155.7372, 161.3932, 162.2449, 165.0806, 162.5664, 154.4602, 151.6934, 148.3065, 153.9392, 154.176, 154.8139, 151.2135, 150.3931, 148.6683, 147.7531, 142.7747, 142.3411, 143.4998, 150.267, 154.0334, 156.9956, 154.2554, 153.1432, 148.9836, 148.5421, 149.3539, 150.9928, 150.2521, 148.2823, 148.305, 145.6114, 147.2578, 146.4621, 149.9595, 149.803, 149.4001, 144.8227, 141.4905, 141.679, 142.0569, 142.5849, 144.2398, 145.8318, 150.4253, 153.6625, 151.2684, 149.1493, 148.4711, 146.2023, 145.3191, 142.6244, 141.4022, 130.9946, 119.8067, 116.1425, 121.0903, 128.8428, 137.4857, 140.1586, 143.7185, 140.9784, 142.4828, 141.9871, 144.3107, 144.303, 143.0022, 139.7955, 137.7083, 139.0238, 139.8429, 139.3381, 137.0063, 137.148, 135.2963, 132.0255, 122.9484, 110.051, 99.0357, 92.315, 96.2934, 103.189, 117.8278, 132.4758, 145.696, 150.6752, 144.065, 127.2046, 115.1758, 129.2689, 142.285, 148.2251, 143.7127, 143.428, 140.5764, 145.0113, 141.8295, 142.6869, 140.1664, 138.9842, 138.953, 139.5749, 140.0869, 141.1108, 139.0793, 138.2431, 135.1715, 135.5489, 139.4414, 143.9873, 145.4288, 143.1443, 138.9056, 138.0541, 136.7232, 137.6209, 138.4869, 136.2743, 137.7548, 138.5199, 142.4434, 144.3267, 145.7768, 147.9897, 148.156, 150.8736, 150.4801, 150.755, 145.5088, 144.6811, 143.6252, 140.3545, 131.9883, 130.4272, 132.2077, 137.3842, 136.7781, 137.007, 140.5594, 138.8503, 136.1004, 131.7907, 133.4607, 137.3684, 137.7469, 135.8093, 137.4078, 137.9919, 139.5598, 140.7568, 140.2141, 143.9714, 146.5486, 147.8088, 146.2412, 146.107, 145.0992, 145.6179, 143.9563, 141.1904, 140.1761, 138.1493, 137.1962, 139.0787, 139.5989, 140.9298, 140.915, 142.3798, 140.8203, 141.3389, 135.7539, 130.3009, 123.3841, 123.178, 125.1947, 126.4948, 122.9016, 112.9506, 103.5355, 101.6443, 110.5556, 123.563, 132.6246, 138.4391, 138.275, 141.7175, 141.892, 144.0657, 142.7822, 141.1593, 140.5121, 136.9986, 134.1854, 128.8358, 125.9585, 119.302, 119.482, 117.7173, 118.7728, 117.1823, 122.2172]; || ;0.009731092897672761;1.0;1.0;102.76338028169015;2.923076923076923;1.8548387096774193;8;9;0.125;1.4985690796770057;28.224489795918366;29.081632653061224
[163.5507, 152.8582, 143.8219, 137.4937, 133.0277, 140.9961, 140.3134, 147.6209, 147.393, 155.139, 155.9895, 149.5648, 147.9878, 149.4607, 148.0908, 143.2489, 136.4747, 134.4743, 136.5979, 148.8621, 150.5904, 146.242, 142.7017, 144.0514, 145.8912, 152.2178, 161.3471, 172.4467, 170.2129, 166.4052, 165.877, 166.4074, 170.2896, 172.7699, 170.8348, 163.1711, 161.5043, 163.3031, 163.5099, 163.1489, 164.6371, 163.5395, 160.2186, 151.9189, 148.8487, 157.5124, 161.2737, 172.051, 170.5458, 169.4238, 166.6457, 161.568, 162.1932, 164.3549, 171.9438, 171.3725, 167.6639, 158.7564, 157.1213, 159.1795, 161.5939, 162.2602, 162.7709, 161.4817, 160.251, 160.3036, 162.4663, 160.3057, 157.2645, 154.2664, 152.6319, 157.8271, 157.2915, 153.6816, 149.6154, 159.4518, 160.1267, 159.9637, 158.8084, 164.7878, 166.2521, 169.4565, 169.2099, 176.0207, 171.7828, 168.1799, 161.5839, 147.7974, 147.2317, 144.3124, 143.1426, 135.1648, 134.1525, 138.7559, 141.3779, 146.3615, 152.0709, 162.5579, 163.8896, 161.6748, 159.6392, 158.4325, 157.0541, 152.605, 155.1302, 163.6287, 166.5057, 160.2382, 149.8011, 136.4157, 132.9005, 146.7233, 152.1533, 163.7611, 162.6229, 155.7401, 155.6201, 151.2204, 151.1431, 148.1632, 146.9209, 145.6184, 142.5148, 149.6931, 148.1069, 142.4789, 138.0526, 127.7544, 122.1721, 125.4895, 129.9939, 132.8802, 136.3758, 138.5187, 134.3268, 135.4174, 132.0601, 138.9757, 142.8593, 144.5736, 144.0527, 149.4782, 153.6673, 158.4368, 146.3509, 134.5503, 128.7372, 115.3819, 110.1594, 95.4274, 91.5565, 81.674, 81.6725, 84.4415, 85.8713, 87.2051, 85.171, 87.9471, 89.7328, 87.5649, 83.6529, 77.6126, 77.4723, 80.6421, 81.2647, 79.6943, 79.9671, 87.5511, 93.8574, 102.3716, 105.2765, 111.8431, 113.4833, 115.8143, 117.4269, 125.0134, 128.3774, 127.844, 125.423, 121.4261, 122.6063, 125.5783, 125.2001, 117.0413, 113.7878, 120.0421, 118.4895, 120.779, 115.7167, 126.9389, 130.5234, 140.6412, 142.0119, 139.7367, 133.9205, 131.57, 125.542, 125.306, 125.3433, 121.78, 115.7857]; || ;0.00634765625;1.0;1.0;157.53846153846155;4.0;1.1666666666666667;4;3;0.25;0.0;0;0
[59.4522, 62.0757, 69.5054, 72.3964, 80.0811, 86.6919, 103.0784, 110.301, 117.3408, 119.5789, 123.9625, 127.2492, 131.663, 132.5685, 130.8382, 128.4115, 126.4185, 124.992, 118.9781, 114.8802, 114.0021, 118.3163, 123.2985, 122.2613, 120.1855, 122.2111, 125.425, 123.991, 115.9188, 113.9645, 114.654, 116.1094, 112.2177, 111.337, 114.2979, 116.9824, 116.5954, 119.2568, 127.5761, 133.6057, 138.7466, 139.8333, 141.7359, 139.3055, 133.7275, 130.6018, 134.9989, 135.1118, 136.8311, 139.8234, 142.8109, 142.6826, 131.0586, 132.1596, 127.5952, 133.8646, 133.7962, 133.6234, 132.179, 132.0962, 138.3098, 136.6363, 137.0235, 135.7669, 140.0992, 142.2184, 138.3804, 137.1282, 137.395, 136.8885, 136.9076, 138.1586, 140.6889, 142.6693, 145.2911, 147.3563, 150.3434, 148.584, 148.8055, 148.5424, 144.7057, 142.4992, 132.4246, 131.2489, 131.1932, 131.1322, 133.7326, 136.7728, 141.8527, 141.3353, 136.6937, 136.068, 132.3918, 133.1698, 136.5824, 140.8091, 137.0805, 134.3634, 137.4047, 144.1394, 154.0312, 158.6957, 163.665, 164.2617, 163.4291, 155.6267, 147.9299, 142.735, 141.4763, 140.0727, 144.5531, 142.8975, 142.6566, 141.9242, 143.5292, 137.5002, 132.8446, 132.7357, 139.6878, 142.1247, 135.7999, 134.2345, 133.6304, 134.4685, 138.5384, 136.9211, 133.4873, 130.1693, 125.4811, 124.6219, 125.124, 134.6073, 147.4359, 148.5206, 144.832, 142.0461, 139.4947, 140.5011, 146.2184, 147.6529, 144.23, 144.0072, 144.7739, 141.8985, 136.1308, 135.5301, 137.6235, 137.0842, 128.7158, 125.738, 130.6367, 132.7366, 135.2921, 131.3126]; || ;0.014500698993996875;1.0;1.0;68.96219281663515;2.96;1.457142857142857;18;4;0.05555555555555555;1.5459319325690293;32.440298507462686;33.082089552238806
[107.5579, 112.6153, 121.3599, 129.3626, 144.3935, 151.0009, 152.5433, 148.7387, 138.941, 137.62, 138.5384, 137.6411, 137.6049, 135.838, 131.1817, 128.9314, 127.6982, 130.8485, 132.4779, 130.0691, 125.7886, 127.1806, 133.6642, 131.1774, 121.6894, 117.5124, 116.8535, 118.8653, 130.0651, 135.6803, 145.2908, 147.4415, 151.5928, 151.3667, 146.8187, 145.7072, 140.2041, 134.6788, 128.9496, 123.9701, 124.9056, 127.5292, 128.9029, 127.8976, 129.7356, 135.2363, 139.0248, 140.179, 135.7351, 137.8537, 136.9834, 137.8076, 133.6064, 135.1228, 134.1036, 136.6392, 127.7086, 131.1113, 127.4422, 132.2647, 134.1243, 139.6398, 148.4847, 150.4755, 148.437, 145.9847, 134.65, 136.523, 154.7072, 157.1742, 152.6764, 148.7148, 150.259, 153.3325, 153.6407, 153.7823, 158.1328, 159.1424, 156.1307, 153.0473, 146.1926, 142.8467, 136.2408, 133.4605, 135.3175, 140.4278, 149.604, 151.3675, 142.6009, 140.091, 133.6898, 134.1446, 133.7277, 136.7862, 144.5556, 144.7203, 139.7983, 137.0022, 130.4055, 132.2887, 125.1102, 124.9539, 128.6786, 127.9744, 124.6955, 124.211, 121.381, 124.8031, 129.4281, 136.1399, 139.6595, 139.2435, 136.3697, 136.8542, 147.044, 150.5363, 149.8709, 146.951, 147.2734, 148.3239, 154.1911, 151.4044, 146.0275, 143.2838, 142.033, 145.4945, 144.3331, 140.2429, 133.8101, 132.7179, 126.9319, 123.1337, 121.2892, 125.3377, 138.1565, 139.1134, 136.0501, 132.0537, 123.5979, 122.928, 126.7177, 129.4243, 135.0259, 135.8933, 135.3247, 135.8105, 131.124, 127.6273, 128.5894, 129.0756, 122.4824, 118.5353, 119.4049, 122.7982, 121.3642, 119.4761, 124.5312, 128.957, 132.8352, 127.8933, 125.1911, 123.0168, 124.7226, 124.2618, 120.8361, 122.7053, 127.0045, 130.6151, 136.2979, 132.5932]; || ;0.005345248211397714;0;1.0;0;0;1.5;0;2;0;0;2.0;2.0
[111.2594, 123.1076, 125.522, 130.43, 134.2831, 142.4099, 143.3473, 139.9613, 137.3865, 132.7935, 132.0369, 136.2892, 137.2578, 132.3991, 131.4282, 131.9473, 136.0012, 148.1512, 152.242, 147.4884, 140.771, 142.0152, 145.4377, 146.5679, 144.5938, 140.4448, 134.9198, 135.1192, 135.8039, 135.2525, 136.0126, 131.5181, 131.9189, 128.5618, 123.4708, 125.6361, 124.644, 131.1239, 133.6552, 126.7037, 132.2981, 129.83, 136.3762, 134.7409, 138.4574, 137.0186, 133.566, 127.997, 128.0971, 133.0698, 138.2454, 141.9259, 141.9452, 137.4428, 142.0079, 145.7327, 149.2543, 145.9881, 147.8154, 147.5709, 149.9718, 149.3779, 148.9332, 156.1087, 157.7824, 159.0465, 152.5253, 144.6543, 145.0071, 143.9245, 144.8032, 148.2954, 149.6683, 146.7754, 145.82, 149.491, 149.5876, 143.1659, 138.8073, 140.2614, 142.0616, 140.9459, 135.4811, 131.6608, 138.491, 146.262, 149.0757, 152.5442, 153.0753, 143.9154, 137.4091, 128.4782, 129.8749, 129.3981, 130.3183, 130.9388, 139.2888, 134.6818, 137.8877, 135.0429, 141.8568, 144.9447, 145.8138, 146.6671, 147.4741, 138.7072, 134.0095, 133.346, 137.6177, 137.36, 143.1193, 134.1971, 135.3918, 128.5719, 133.272, 138.5383, 134.6881, 134.2206, 135.3325, 141.5153, 141.9195, 139.9199, 144.4264, 149.3741, 148.5403, 137.7667, 133.7647, 130.4966, 126.9385, 120.0968, 122.184, 135.6111, 139.9298, 143.79, 141.0654, 130.5628, 127.6273, 128.0551, 128.5858, 129.9447, 131.875, 128.2715, 125.5031, 123.816, 126.0525, 133.2086, 139.1202, 143.4205, 143.7055, 137.7609, 134.7057, 133.1566, 133.4528, 128.8045, 129.3961, 132.5683, 132.0527, 132.3445, 129.1979, 141.0384, 142.4021, 142.9847, 146.0232, 141.6847, 140.771, 129.7251, 127.247, 121.6102]; || ;0.00545489432855459;0;0;0;0;0;0;0;0;0;60.5;60.5
[106.1651, 104.7814, 103.1011, 101.7394, 101.552, 100.8459, 97.88, 94.2251, 91.8005, 90.7229, 90.8364, 91.7635, 93.2336, 94.8011, 96.1382, 97.1114, 97.5282, 96.5586, 93.6428, 90.9079, 90.3378, 90.6546, 90.2041, 88.9753, 87.9234, 87.7999, 88.3248, 89.1338, 90.2272, 91.7034, 93.5697, 95.6091, 97.2067, 97.2742, 96.7826, 96.9628, 97.587, 98.1565, 98.2787, 97.1478, 95.7444, 95.9461, 96.8578, 97.3433, 97.5624, 97.4984, 97.6936, 99.0397, 100.7149, 100.8716, 100.0697, 98.5996, 96.4529, 94.079, 92.4212, 93.7856, 95.8026, 95.5089, 94.4967, 94.6485, 95.3003, 95.5184, 94.9671, 93.3624, 91.7711, 91.3713, 91.3236, 90.6701, 89.6711, 88.7107, 87.5693, 86.0097, 84.6901, 84.2885, 84.6039, 85.3204, 86.2814, 87.489, 88.9768, 90.6007, 90.9274, 88.7064, 85.5466, 83.3783, 82.6243, 83.3088, 84.8501, 86.6346, 88.0466, 88.4975, 88.7637, 89.6947, 90.5708, 90.2267, 89.3218, 88.855, 88.6593, 88.5836, 88.7712, 88.9952, 89.0134, 90.1039, 94.4492, 99.9209, 101.6739, 102.2364, 103.9823, 105.9697, 105.5447, 102.8317, 97.4093, 91.2913, 89.8445, 90.1902, 89.6234, 88.6368, 88.1924, 88.4733, 89.962, 91.9037, 93.1284, 93.3709, 92.1191, 90.4374, 89.5758, 89.4207, 89.7385, 89.8494, 89.3036, 89.5225, 91.8625, 94.431, 95.3784, 96.5014, 99.8205, 103.6564, 105.9872, 106.8179, 106.6027, 105.2773, 102.6417, 99.5635, 96.9351, 95.2341, 94.7074, 94.9242, 95.4347, 96.0547, 96.7655, 97.8776, 99.7143, 101.855, 103.5658, 104.8197, 105.4142, 105.7456, 106.1174, 106.3951, 106.2496, 106.2373, 107.3004, 109.138, 111.1562, 114.4193, 119.8818, 125.6385, 126.0911, 124.0416, 122.6155, 121.3498, 119.2267, 115.7145, 112.3377, 113.1976, 116.2185, 118.7107, 119.8523, 117.4019, 112.6934, 107.4755, 102.4843]; || ;0.009785915956251199;1.0;1.0;102.18767507002802;3.1176470588235294;1.7777777777777777;14;4;0.07142857142857142;1.680767983711968;44.026315789473685;44.94736842105263
[101.5658, 111.3024, 119.1007, 122.7581, 122.8648, 121.2751, 119.7281, 118.8654, 118.011, 116.6182, 115.6138, 116.9551, 121.5185, 127.1111, 130.3269, 130.121, 128.117, 126.7388, 127.1493, 128.7393, 130.3106, 131.0794, 130.8574, 129.8411, 128.623, 128.1727, 129.0273, 130.2658, 130.1839, 127.8396, 123.3851, 119.0021, 116.9786, 116.9798, 118.0638, 120.7761, 125.2817, 129.8898, 132.6512, 132.3539, 129.2035, 124.2944, 120.032, 118.8149, 118.9289, 115.2342, 108.8061, 116.2568, 119.7362, 117.946, 116.3106, 118.0217, 122.9061, 128.0261, 131.4996, 134.0811, 135.971, 137.9568, 140.0462, 140.1053, 136.2013, 129.5229, 123.3647, 119.4193, 117.5711, 117.0748, 117.6355, 119.982, 124.3499, 128.9974, 131.2738, 130.2991, 127.3322, 124.158, 122.3733, 122.8187, 125.0155, 127.7964, 130.2437, 132.004, 133.0688, 133.3419, 132.6139, 130.8329, 128.4752, 126.965, 127.1981, 127.7056, 126.3243, 122.3999, 116.4442]; || ;0.0109372001863984;1.0;1.0;91.43107769423558;6.230769230769231;1.8666666666666667;26;4;0.038461538461538464;2.0317592185692717;76.51470588235294;76.83823529411765
[54.499, 44.5418, 38.1304, 34.9756, 34.4162, 35.8759, 38.3166, 40.2223, 40.5138, 39.3413, 37.788, 36.699, 36.2268, 36.2272, 36.5763, 37.1302, 37.5092, 37.2963, 36.5424, 36.0301, 36.5779, 38.0127, 39.2941, 39.4963, 38.7611, 37.9984, 37.461, 36.9645, 37.4252]; || ;0.08703160549327046;1.0;1.0;11.49007874015748;10.6171875;8.26764705882353;174;24;0.005747126436781609;2.9148920229192408;55.07514450867052;64.0635838150289
[106.3703, 110.4676, 114.1489, 119.3293, 126.5625, 134.1458, 139.5624, 141.4332, 140.3002, 138.1586, 136.2186, 134.411, 132.528, 131.0396, 131.2036, 133.234, 135.2458, 135.3456, 134.0706, 132.5571, 130.2389, 127.666, 126.591, 125.9319, 120.7993, 113.0138, 118.036, 122.1912, 125.175, 128.5375, 131.2089, 133.1333, 134.4721, 135.104, 135.3398, 135.361, 135.0744, 134.688, 134.975, 136.0547, 136.2274, 134.0816, 130.864, 129.3247, 131.0373, 135.1393, 139.3963, 141.9645, 142.6128, 142.6269, 142.6242, 142.0262, 140.7336, 139.7911, 139.7978, 139.7979, 138.2383, 134.637, 130.4622, 127.9577, 128.0728, 129.6796, 131.0072, 131.7568, 132.7485, 134.2998, 135.6707, 135.7886, 134.888, 133.7944, 132.9582, 132.3777, 131.5052, 131.0621, 132.309, 135.7162, 139.2492, 139.8394, 136.3601, 131.0296, 126.8342, 124.2157, 122.4996, 119.6449]; || ;0.02184698884350758;1.0;1.0;45.77289836888331;5.976190476190476;3.0119760479041915;31;15;0.03225806451612903;2.344668695831267;63.66990291262136;66.23300970873787
[121.6514, 119.6839, 119.2211, 121.256, 126.0023, 131.3687, 134.5882, 134.5019, 133.3221, 132.3357, 131.2566, 128.686, 123.7653, 117.8281, 112.1611, 107.5068, 104.5247, 104.2792, 103.4339, 101.4573, 111.791, 119.4484, 122.0493, 124.3115, 127.8254, 131.1999, 132.276, 129.6971, 125.0016, 121.9145, 122.8202, 126.7426, 129.9054, 129.1169, 124.2014, 117.7834, 113.0292, 111.1219, 111.4471, 113.2248, 116.1596, 119.906, 123.6609, 126.876, 129.9076, 133.3878, 137.2392, 140.7384, 143.0867, 143.6446, 141.6143, 136.4433, 128.713, 119.9118]; || ;0.01521339875551657;1.0;1.0;65.73153153153153;5.8076923076923075;1.934782608695652;17;6;0.058823529411764705;2.390880771934338;60.50515463917526;61.11340206185567
[131.1347, 133.1467, 131.0945, 127.777, 125.9518, 126.5723, 128.2372, 129.6805, 130.5503, 129.9105, 124.0834, 115.4226, 119.1792, 120.5232, 119.5881, 121.1822, 124.42, 125.9016, 122.666, 114.0941, 103.0898, 93.6183]; || ;0.051232148241550396;1.0;1.0;19.518994114499733;14.2;8.621052631578948;88;23;0.011363636363636364;2.8584919488664338;52.35;55.2
[72.9893, 74.8839, 72.3039, 66.1019, 59.4363, 55.4423, 54.8059, 55.3443, 55.0771, 54.6369, 55.3168, 56.6051, 56.9139, 56.0323, 55.5716, 56.7851, 58.8873, 59.8274, 58.7724, 57.5089, 58.0129, 59.1513, 58.0675, 53.98, 49.1334, 46.5502, 47.4202, 51.0798, 56.1053, 61.0334, 64.8106, 66.3173, 64.8328, 61.2677, 57.6902, 56.5049, 58.7713, 63.2363, 66.8577, 66.0359, 62.7404, 66.0311, 68.2455, 67.9579, 67.3859, 66.5727, 64.2995, 60.3823, 56.1992, 53.387, 52.0914, 51.1901, 50.5097, 50.9103, 53.6713, 59.0624, 65.3705, 70.2969, 72.3493]; || ;0.015158575696938133;1.0;1.0;65.96925858951175;8.157894736842104;4.072289156626506;53;13;0.018867924528301886;2.1560883808627587;29.625;30.416666666666668
[61.5922, 59.8297, 57.9374, 56.4066, 56.9614, 58.5646, 59.2959, 59.0239, 59.2144, 60.9375, 63.3856, 65.3017, 66.5819, 67.3875, 67.7362, 67.7704, 67.7499, 67.7964, 67.6343, 67.3983, 68.1279, 70.8515, 75.1502, 79.0625, 81.2956, 82.2188, 82.2538, 80.8105, 77.1547, 71.6889, 65.7611, 60.7969, 58.0208, 58.0424, 60.5735, 64.3914, 67.97, 70.7425, 72.8634, 73.7789, 71.9435, 67.2377, 62.2473, 59.3705, 58.9413, 60.1821, 62.2465, 64.2781, 65.9134, 67.6696, 69.8045, 71.6099, 73.1058, 74.8395, 76.1408, 76.0497, 74.3852, 71.0709, 66.3365, 61.6995, 59.1195, 58.1488, 56.8513, 52.9936, 48.7161, 49.2486, 50.7118, 53.2676, 57.4328, 60.846, 62.0114, 61.8763, 62.3732, 64.3599, 66.9168, 68.313, 67.3674, 64.1781, 59.738, 55.2554, 51.8761, 50.4492, 51.543, 55.5997, 62.4351, 70.3632, 76.8617, 80.5277, 81.9516, 82.3002, 81.6763, 79.4978, 75.9221, 72.4634, 70.4839, 69.8218, 69.8256, 70.1153, 69.8096, 67.2582, 62.0342, 56.8883, 57.5256, 62.3833, 67.5913, 71.908, 75.0234, 77.7276, 80.8861, 83.1613, 81.9408, 70.5818, 66.5059, 64.6133, 63.2777, 61.3041, 59.5931, 59.3622, 60.149, 60.0188, 57.1977, 54.2631, 58.0034, 62.6671, 65.3839, 66.0233, 64.8802, 62.6649, 60.7289, 60.3372, 61.5085, 63.1252, 64.1394, 64.5745, 64.6904, 64.1986, 62.6476, 60.7288, 60.2621, 62.4696, 66.933, 71.9876, 76.3279, 79.4216, 80.9358, 80.5594, 78.6979, 77.3098, 78.0937, 79.9092, 79.5693, 75.4019, 69.1216, 63.7899, 60.7458, 58.8583, 56.5358, 54.1992, 53.8473, 55.95, 58.463, 59.5028, 58.8477, 57.4301, 55.9089, 54.7448, 54.5979, 55.2459, 55.9721, 56.3052, 57.2797, 60.2502, 64.2869, 67.5559, 69.3313, 70.1178, 70.176, 68.9655, 66.1569, 61.2648, 56.6143, 58.457, 60.0438, 59.0631, 57.3854, 56.7466, 57.8664, 60.0672, 62.3628, 64.3353, 65.4185, 65.1837, 64.0444, 62.7094, 61.3556, 59.696, 58.0136, 56.9044, 56.7359, 57.5058, 58.7951]; || ;0.005316840277777778;1.0;1.0;188.0816326530612;1.0;1.3333333333333333;1;2;1.0;0.0;0;0
[54.7841, 52.3757, 51.4456, 53.0685, 56.6384, 60.5853, 64.1267, 67.1934, 69.3217, 69.6663, 68.0162, 65.3512, 63.2617, 62.6502, 63.0782, 63.6243, 64.2972, 65.559, 66.7735, 66.8116, 65.7031, 64.7583, 65.015, 65.8008, 65.5349, 63.4798, 60.6891, 59.1512, 59.6152, 61.13, 62.4378, 63.0855, 63.1935, 63.2128, 63.315, 63.3885, 63.6809, 64.2797, 64.9716, 65.2048, 64.8026, 64.1466, 64.0466, 65.0397, 66.2402, 65.7077, 61.2719, 55.4432, 54.2142, 52.0455, 48.8807, 47.1199, 46.3797, 45.7401, 45.2157, 45.0436, 45.1952, 45.1461, 44.5724, 43.9292, 43.8831, 44.5521, 45.1955, 45.1668, 44.8356, 44.966, 45.6084, 46.2287, 46.3769, 46.0607, 45.9633, 47.0501, 49.6132, 53.02, 56.3666, 59.0253, 60.5723, 61.0203, 61.2019, 61.6104, 61.6015, 60.7951, 60.1121, 60.4959, 61.1593, 60.5415, 58.3995, 55.7317, 52.9557, 49.458, 45.9119, 43.8604, 43.6059, 43.8974, 43.9992, 44.3774, 45.1245, 45.4388, 45.3316, 45.6804, 46.818, 48.9106, 51.7267, 54.6694, 56.8011, 57.679, 57.8823, 57.9319, 57.4689, 56.1127, 52.8181, 49.3319, 49.4561, 48.6308, 46.3909, 44.9409, 44.398, 44.0332, 43.6518, 43.3459, 42.9677, 42.3686, 41.4245, 40.299, 39.8205, 40.7418, 42.6595, 44.2901, 45.0427, 45.7291, 47.3171, 49.689, 51.8202, 52.9663, 53.3927, 53.7347, 54.1005, 53.9054, 52.7041, 50.9752, 49.3782, 47.7809, 45.8129, 43.7527, 42.0544, 40.5561, 39.2475, 38.9367]; || ;0.01175954606507497;1.0;1.0;85.03729603729603;5.294117647058823;2.5952380952380953;19;5;0.05263157894736842;1.7582428597165525;37.65;40.6
[66.802, 70.656, 65.809, 61.229, 64.509, 74.105, 83.287, 87.826, 89.085, 88.534, 87.883, 97.232, 102.469, 104.879, 102.86, 99.561, 95.668, 91.34, 92.027, 97.457, 100.772, 100.285, 99.25, 97.386, 96.293, 94.906, 92.659, 89.85, 85.402, 82.232, 83.678, 85.997, 82.925, 70.948, 54.213, 42.822, 38.339, 37.329, 38.841, 39.371, 38.706, 39.502, 39.874, 39.053, 38.944, 38.769, 40.424, 45.01, 51.507, 58.822, 65.479, 72.458, 76.867, 80.137, 84.102, 85.623, 85.623, 85.728, 86.878, 86.916, 85.166, 85.017, 88.089, 90.451, 90.196, 89.879, 90.55, 90.082, 88.634, 88.313, 89.447, 92.255, 91.677, 90.54, 89.185, 88.639, 91.122, 91.676, 89.391, 88.659, 90.11, 92.05, 90.736, 89.814, 93.71, 96.586, 94.152, 91.693, 93.222, 94.949, 92.907, 90.265, 91.185, 92.407, 89.695, 86.743, 85.988, 86.055, 85.221, 84.652, 86.002]; || ;0.037163628472222224;1.0;1.0;26.908029197080293;5.780487804878049;4.02755905511811;60;20;0.016666666666666666;2.4319580227832693;14.95483870967742;18.73548387096774
[82.168, 87.37, 86.807, 89.695, 95.847, 95.693, 91.748, 88.491, 84.844, 86.186, 90.652, 92.206, 91.645, 92.07, 92.304, 88.554, 85.333, 83.981, 81.921, 80.794, 80.909, 82.676, 84.489, 83.568, 81.769, 83.373, 86.453, 86.21, 84.342, 84.556, 85.328, 85.328, 88.767, 95.303, 99.58, 98.944, 95.985, 95.531, 95.572, 94.84, 95.664, 96.287, 95.807, 93.083, 89.026, 89.603, 93.229, 92.482, 92.835, 95.09, 94.898, 93.721, 94.588, 93.687, 90.164, 89.384, 90.502, 90.902, 91.537, 90.383]; || ;0.01006003124914339;1.0;1.0;99.40326975476839;5.333333333333333;2.2266666666666666;16;6;0.0625;2.0228085294147036;78.88888888888889;78.88888888888889
[45.784, 53.317, 63.213, 74.096, 81.853, 84.414, 86.324, 90.663, 90.798, 87.121, 84.076, 82.533, 83.212, 84.112, 85.871, 89.696, 91.204, 88.72, 88.997, 90.087, 86.497, 83.266, 82.079, 82.899, 83.929, 86.266, 90.547, 91.041, 88.04, 86.13, 86.864, 86.619, 85.743, 86.775, 89.653, 91.559, 91.124, 89.478, 89.478, 86.028, 83.547, 83.203, 85.913, 91.593, 94.076, 93.135, 95.107, 97.401, 96.276, 94.066, 94.505, 93.407, 90.48, 85.572, 85.927, 89.453, 88.822, 86.369, 86.519, 88.548, 92.477, 95.434, 94.327, 95.923, 97.816, 96.142, 95.28, 92.972, 85.836, 82.1, 83.972, 84.677, 84.618, 82.397, 78.064, 77.833, 78.503, 73.837, 67.665, 66.116, 67.57, 71.849, 75.949, 78.222]; || ;0.022614511663605712;1.0;1.0;44.21939393939394;5.7560975609756095;1.7171314741035857;29;7;0.034482758620689655;2.37641365935497;36.87684729064039;38.01477832512315
