TimeSeries; || ;RR; DET; LAM; RATIO; averageL; averageH; Lmax; Hmax; DIV; ENTR; averageTime1; averageTime2
[67.801, 57.258, 54.996, 54.379, 52.138, 49.208, 48.313, 46.885, 44.747, 45.481, 49.011, 50.34, 48.311, 45.753, 43.999, 41.991, 41.213, 40.878, 40.089, 38.958, 37.419, 36.853, 37.61, 38.749, 40.826]; || ;0.005235602094240838;0;0;0;0;0;0;0;0;0;0;0
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[67.416, 77.137, 78.999, 79.459, 80.365, 80.086, 81.675, 83.136, 83.095, 81.84, 81.021, 81.111, 75.077, 63.416, 53.302, 50.768, 52.593, 50.479, 46.825, 45.537, 45.113, 47.476, 50.264, 49.755, 47.886]; || ;0.005235602094240838;0;0;0;0;0;0;0;0;0;0;0
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[87.784, 82.151, 75.794, 73.232, 69.159, 62.7, 58.598, 54.837, 48.274, 42.019, 40.484, 40.33, 41.599, 50.158, 64.152, 73.583, 76.403, 78.474, 80.063, 77.422, 67.772, 54.992, 46.798, 43.626, 42.803]; || ;0.006112771031495847;0.6666666666666666;0.8;109.06128550074737;6.0;3.75;8;5;0.125;0.6931471805599453;0;0
[43.219, 42.471, 43.746, 48.684, 48.684, 55.873, 64.57, 68.661, 65.607, 57.415, 49.317, 49.261, 56.303, 62.203, 61.237, 52.492, 45.167, 43.328, 42.227, 42.629, 45.46, 48.378, 44.811, 41.042, 38.913]; || ;0.005235602094240838;0;0;0;0;0;0;0;0;0;0;0
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
